"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"2X03WV";"2X03WV";"J3";"";"";
"4";"";"BOHR3,5";"BOHR3,5";"DRL1, DRL2, DRL3, DRL4";"";"";
"1";"100n";"CAP01";"C-2,5";"C3";"";"";
"1";"10k";"RES04";"R-10";"R5";"";"";
"1";"10u/16V";"C05,0/2,0";"C5,0/2,0";"C4";"";"";
"1";"1N4148";"1N41480.3"";"DO-35/3";"D1";"";"";
"1";"1k5";"RES04";"R-10";"R1";"";"";
"1";"27k";"RES04";"R-10";"R4";"";"";
"1";"2n2";"CAP01";"C-2,5";"C1";"";"";
"1";"390R";"RES04";"R-10";"R3";"";"";
"1";"470R";"RES04";"R-10";"R2";"";"";
"1";"47u/16V";"C05,0/2,0";"C5,0/2,0";"C2";"";"";
"1";"74LS02N";"7402N";"DIL-14";"IC1";"";"";
"1";"FCR681465P";"FCR681465P";"FCR681465P";"J4";"";"";
"1";"JTP-1130";"JTP-1130";"JTP-1130";"SW1";"";"";
"1";"MSS22D18";"DPDT_9MM";"DPDT_9MM";"SW3";"";"";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$2";"";"";
"1";"PET-USERPORT";"PET-USERPORT";"USERPORT";"J1";"";"";
"1";"PET-USERPORT_M";"PET-USERPORT_M";"USERPORT_M";"J2";"";"";
"1";"RCJ-022";"RCJ-02X";"RCJ-02X";"J6";"";"";
"1";"RCJ-023";"RCJ-02X";"RCJ-02X";"J7";"";"";
"1";"RCJ-024";"RCJ-02X";"RCJ-02X";"J5";"";"";
